MaCK,SanCK,GiaHienTai,GiaSoSach,P/B,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,,
DVC,HASTC,9.0000,0,49696%,11.00,7.50,0.71,12.7,179%,394%,1.42,10793670,10793670,0,2279197,97143030,70022,1659,195484,234990,430474,CTCP Thương mại Dịch vụ Tổng hợp Cảng Hải Phòng,Hai Phong Port Trading And Services JSC,Số 3 - Lê Thánh Tông - P. Máy Tơ - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 382 7970 - 385 9809,(031) 3827 848,www.dichvucang.com,,,,,
DVG,HASTC,10.5000,0.1,12233%,20.00,10.90,2.08,5.0,210%,242%,2.17,4000000,4000000,0,0,42000000,179033,546,343897,51464,395361,Công ty Cổ phần Tập đoàn Sơn Đại Việt,Công ty Cổ phần Tập đoàn Sơn Đại Việt,,,,,,,,,
DVN,HASTC,18.4000,0,147200%,23.90,10.50,0.89,20.7,356%,714%,1.33,237000000,237000000,0,0,4360799910,5035050,211612,2962216,2989624,5951840,Tổng Công ty Dược Việt Nam - CTCP,Vietnam Pharmaceutical Corporation - JSC,Số 12 Ngô Tất Tố - P. Văn Miếu - Q. Đống Đa - Hà Nội,(84.24) 3844 3151 - 3844 3149,024 3844 3149,http://vinapharm.com.vn,,,,,
DVW,HASTC,14.2000,0,80408%,17.87,10.85,2.40,5.9,750%,1356%,0.04,2345000,2345000,0,0,33299000,0,0,41413,33515,74928,CTCP Dịch vụ và Xây dựng Cấp nước Đồng Nai,Dong Nai Water Supply Construction And Services JSC,Số 52 - Đường Cách Mạng Tháng 8 - P. Quyết Thắng - Tp. Biên Hòa - T. Đồng Nai,(84.251) 3941 679 - (84.251) 384 7241,2513840797,http://www.dvxdcn.com/,,,,,
DWS,HASTC,11.0000,0,92127%,16.50,8.49,1.06,10.4,273%,889%,0.36,25918130,25918130,0,0,285099430,365413,0,309513,699025,1008538,CTCP Cấp nước và Môi trường đô thị Đồng Tháp,Dong Thap Water Supply & Urban Environment Joint Stock Company,Số 1 Tôn Đức Thắng - P. 1 - TP. Cao Lãnh - T. Đồng Tháp,(84.277) 3853 332,,http://www.dowasen.com/,,,,,
DX2,HASTC,10.2000,0,96958%,10.20,10.20,0.52,19.6,63%,498%,0.00,4950000,4950000,0,0,50489999,204675,0,52092,358754,410845,CTCP Đầu tư và Xây dựng 319.2,319.2 Investment And Construction JSC,Số 145/154 - Đường Ngọc Lâm - P. Ngọc Lâm - Q. Long Biên - Hà Nội,(084.24) 3933 6202,023 3933 6200,,,,,,
DXD,HASTC,11.0000,0,104563%,22.30,6.00,0.07,157.1,21%,67%,0.90,1019700,1019700,0,0,11216700,5560,0,10661,26302,36963,CTCP Đầu tư và Xây dựng - VVMI,VVMI – Investment And Construction Joint Stock Company,Tổ 20 - Thị trấn Đông Anh - H. Đông Anh - Tp. Hà Nội,0243 8832505,,http://dautuvaxaydungvvmi.com.vn/,,,,,
DXL,HASTC,5.0000,0,45372%,5.00,3.50,0.49,10.2,177%,447%,-0.10,3957900,3957900,0,625611,19789500,36097,-6429,43602,66351,109953,CTCP Du Lịch và Xuất nhập khẩu Lạng Sơn,Lang Son Tourism & Import - Export JSC,Số 1A - Đường Nguyễn Thái Học - P. Chi Lăng - Tp. Lạng Sơn - T. Lạng Sơn,(84.205) 381 4848,253812738,http://tocolimexlangson.com,,,,,
DXP,HASTC,13.8000,0,75949%,19.20,9.30,2.20,6.3,1170%,1214%,1.53,25987027,25987027,0,3858736,358620978,97797,0,472138,17723,489861,CTCP Cảng Đoạn Xá,Doan Xa Port Joint Stock Company,Số 15 - Đường Ngô Quyền - P. Vạn Mỹ - Q. Ngô Quyền - Tp. Hải Phòng,(84.225) 376 5029 - 376 7949,2253765727,http://www.doanxaport.com.vn,,,,,
DZM,HASTC,4.8000,0,48241%,7.20,2.80,0.57,8.4,240%,572%,1.77,5395985,5395985,0,2644032,25900729,58883,0,53669,74205,127874,CTCP Cơ điện Dzĩ An,Dzi An Mechanoelectric JSC,Số C2-17 đường D - KDC Him Lam Phú Đông - P. An Bình - Tp. Dĩ An - T. Bình Dương,(84.274) 379 0901,+84-(0)650-379.09.05,http://www.dzima.com,,,,,
E12,HASTC,10.0000,0,80972%,10.00,8.00,0.08,125.0,19%,62%,-0.12,1200000,1200000,0,0,12000000,32751,0,14832,32919,47751,CTCP Xây dựng Điện VNECO12,VNECO12 Electricity Construction JSC,Số 155 Đường Lý Thường Kiệt - P. Đồng Phú - Tp. Đồng Hới - Quảng Bình,(84.232) 385 0554,,http://vneco12.com.vn/,,,,,
E1VFVN30,HASTC,23.8800,0,N/A,26.16,12.25,0.00,0.0,0%,0%,0.95,21800000,21800000,0,0,520,0,0,0,0,0,Quỹ ETF VFMVN30,VietFund Management,Phòng 1701-04, Tầng 17, Tòa nhà Mê Linh Point, 02 Ngô Đức Kế, Quận 1, TP.HCM,(84.8) 3825 1488,(84.8) 3825 1489,ww.vinafund.com
E29,HASTC,6.0000,0,57748%,15.67,5.00,0.39,15.4,53%,373%,1.82,5000000,5000000,0,0,30000000,315861,1839,50238,312086,362324,CTCP Đầu tư Xây dựng và Kỹ thuật 29,29 Investment Construction And Engineering JSC,Số 73 - Đường Nguyễn Trãi - P. Khương Trung - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3853 7787,,http://congty29.vn/,,,,,
EAD,HASTC,22.1000,0,187130%,23.00,8.85,1.34,16.5,446%,1138%,0.46,2877800,2877800,0,0,63599381,0,0,33984,52787,86771,CTCP Thủy điện Điện lực Đắk Lắk,Dak lak Power Hydroelectric JSC,Phòng 6 - Tầng 2 - Khu B - Chung Cư Hoàng Anh Gia Lai - Sô 33 Nguyễn Công Trứ - P. Tự An - Tp. Buôn Ma Thuột - T. Đắk Lắk,(84.262) 224 0159,0500 3950817,http://dphc.com.vn,,,,,
EBA,HASTC,12.6000,0,103025%,11.50,9.10,1.41,8.9,482%,1149%,0.05,15500000,15500000,0,0,195300006,88470,0,189591,262393,451984,CTCP Điện Bắc Nà,Bac Na Hydropower JSC,Thôn Nậm Thảng - X. Bản Liền - H. Bắc Hà - T. Lào Cai,(84.21) 4222 4225,,http://eba.asia/,,,,,
EBS,HASTC,9.0000,0,62805%,9.90,6.48,0.96,9.4,566%,673%,0.48,9658084,9938784,280700,5007547,89449056,121748,0,138399,26158,164557,CTCP Sách Giáo dục tại Thành phố Hà Nội,Educational Book JSC In Hanoi City,Nhà D tầng 2 Vinaconex 1 - 289A Khuất Duy Tiến - Q.Cầu Giấy - Tp.Hà Nội,(84.24) 3792 5308,024 6265.7741,http://www.sachgiaoduchanoi.vn,,,,,
ECI,HASTC,45.0000,0,246171%,45.00,13.53,2.53,17.8,1118%,1384%,0.42,1860000,1860000,0,911400,83700000,69603,0,34002,8079,42081,CTCP Bản đồ và Tranh ảnh Giáo dục,Education Cartography And Illustration JSC,Số 45 Hàng Chuối - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 3971 6096,024 39.72.83.95,http://www.bandotranhanh.vn,,,,,
EFI,HASTC,2.4000,0,37559%,3.00,1.50,-0.28,-8.6,-426%,-437%,0.97,13425700,13425700,0,6578593,32221681,14463,0,85852,2191,88043,CTCP Đầu tư Tài chính Giáo dục,Education Financial Investment,. JSC,Số 81 Trần Hưng Đạo - Q.Hoàn Kiếm - Tp.Hà Nội,(84.24) 3974 7322,024 39.74.73.21,http://efi.vn,,,,
EIC,HASTC,13.6000,0,118158%,22.00,6.40,1.27,10.7,1081%,1106%,2.02,36677145,36677145,0,0,498809186,14631,0,422186,9745,431930,CTCP EVN Quốc tế,EVN International Joint Stock Company,Lô số 91 - Đường Xô Viết Nghệ Tĩnh - P. Khuê Trung - Q. Cẩm Lệ - TP. Đà Nẵng,(84.236) 625 5656,0511.3633.991,http://www.evni.vn,,,,,
EID,HASTC,15.8000,0,81109%,17.40,9.95,3.43,4.6,1078%,1759%,0.68,15000000,15000000,0,7350000,237000003,719380,51409,292259,184720,476978,CTCP Đầu tư và Phát triển Giáo dục Hà Nội,Hanoi Education Development & Investment JSC,Tòa nhà HEID - Ngõ 12 Láng Hạ - P.Thành Công - Q.Ba Đình - Hà Nội,(84.24) 3512 3939,435123838,http://heid.vn,,,,,
EIN,HASTC,12.5000,0,77065%,27.20,3.20,0.95,13.2,184%,586%,1.72,30407161,30407161,0,0,380089512,109360,0,493086,1079492,1572578,CTCP Đầu tư - Thương mại - Dịch vụ Điện Lực,Electricity Investment - Service - Trade Joint Stock Company,Số 04 Nguyễn Siêu - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 2215 2585,028 2220 0392,http://www.ecinvest.vn,,,,,
EME,HASTC,51.0000,0,290433%,81.00,24.10,0.37,137.8,121%,208%,0.83,3780298,3780298,0,0,192795198,0,0,66393,47468,113862,CTCP Điện cơ,Electro Mechanical Corporation,Số 6 - Đường 3/2 - P. 15 - Q.11 - Tp. Hồ Chí Minh,(84.28) 3865 1598,028 3864 7429,www.emec.vn,,,,,
EMG,HASTC,15.5000,0,57196%,18.50,11.10,4.25,3.6,1057%,1568%,0.39,3000000,3000000,0,0,46500000,0,0,81313,39257,120570,CTCP Thiết bị Phụ Tùng Cơ Điện,Electrical Mechanical Equipment And Spare Parts JSC,Số nhà 56 - Ngõ 102 - Đường Trường Chinh - P. Phương Mai - Q. Đống Đa - TP. Hà Nội,(84.24) 3868 6150,024 3868 9682,http://www.emesco.com.vn,,,,,
EMS,HASTC,40.0000,0,156801%,42.00,22.03,6.22,6.4,859%,2439%,1.21,9158788,9158788,0,0,366351520,537044,0,257441,524173,781614,Tổng Công ty Chuyển phát nhanh Bưu Điện - CTCP,VNPost Express Joint Stock Company,Số 1 Tân Xuân - Xuân Đỉnh - Từ Liêm - Hà Nội,(84.24) 3757 5577,(84-024) 3757 6144,http://ems.com.vn,,,,,
EPC,HASTC,6.2000,0,67760%,6.20,6.20,0.01,620.0,10%,13%,0.00,9388500,9388500,0,0,58208698,0,0,85898,27098,112996,CTCP Cà phê Ea Pốk,Ea Pok Coffee Joint Stock Company,Km 14 - Tỉnh lộ 8 - Thị trấn Ea Pốk - H. Cư M'gar - T. Đắk Lắk,(84.262) 353 0281,,https://eapokcafe.com/,,,,,
EPH,HASTC,9.4000,0,69940%,11.80,6.16,2.00,4.7,752%,1490%,0.46,2500000,2500000,0,0,23499999,5651,0,28007,32107,60113,CTCP Dịch vụ Xuất bản Giáo dục Hà Nội,Ha Noi Education Publishing Services JSC,187B Giảng Võ - P.Cát Linh - Đống Đa - Tp.Hà Nội,(84.24) 3512 2068,(024) 3512 3278,http://www.xbgdhn.vn,,,,,
ETHUSD-X,HASTC,2159.2400,0,N/A,4168.70,279.22,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,Ethereum Price Index,Ethereum Price Index,,,,,,,,,
EUR-X,HASTC,0.8496,0,N/A,0.86,0.81,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/EUR (Euro),USD/EUR,,,,,,,,,
EVF,HASTC,10.2000,0,71429%,13.30,5.70,1.03,9.9,97%,724%,1.48,264981265,264981265,0,0,2702808852,1581080,273992,3783352,24538560,28321912,Công ty Tài chính Cổ phần Điện lực,EVN Finance Joint Stock Company,Tầng 14, 15 và 16 Tháp B - tòa nhà EVN Số 11 đường Cửa Bắc - P. Trúc Bạch - Q. Ba Đình - Tp. Hà Nội,(84.24) 2222 9999,024 2222 1999,http://www.evnfc.vn,,,,
EVS,HASTC,31.8000,0,224418%,35.10,5.20,2.38,13.4,1252%,1682%,1.48,60000400,60000400,0,0,1908012674,386825,142955,850003,291869,1141872,CTCP Chứng khoán Everest,Everest Securities Joint Stock Company,Tầng 2 Tòa nhà VNT Tower - Số 19 Nguyễn Trãi - P. Khương Trung - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3772 6699,024 3772 6763,https://www.eves.com.vn,,,,,
FBA,HASTC,0.9000,0,409091%,0.90,0.90,0.01,90.0,267%,514%,0.00,163915200,163915200,0,1640301,147523676,0,0,36877,34059,70936,CTCP Tập đoàn Quốc tế FBA,FBA International Group Corporation,Số 1 - N7 - TT5 - KĐT Bắc Linh Đàm - P.Đại Kim - Q.Hoàng Mai -Tp.Hà Nội,(84.24) 36412108,024 36.41.50.10,http://www.usfba.com,,,,,
FBC,HASTC,4.6000,0,14534%,4.60,4.60,12.65,0.4,1497%,3995%,-0.24,3700000,3700000,0,0,17020000,292232,0,117118,195495,312614,CTCP Cơ khí Phổ Yên,Pho Yen Mechanical Joint Stock Company,P. Bãi Bông - TX. Phổ Yên - T. Thái Nguyên,(84.208) 386 3694,2083863118,www.fomeco.vn,,,,,
FCC,HASTC,11.0000,0,964912%,11.00,11.00,-3.19,-3.4,-11226%,-27952%,0.00,5997040,5997040,0,2938549,65967440,0,0,6846,10200,17046,CTCP Liên hợp Thực phẩm,Foodstuff Combina Torial Joint Stock Company,Số 267 Quang Trung - P.Quang Trung - Hà Đông - Hà Nội,(84.43) 382 4230,433827236,http://lhtp.com.vn,,,,,
FCS,HASTC,4.8000,0,183908%,7.60,4.80,-1.23,-3.9,-472%,-4697%,0.40,29450000,29450000,0,0,141360006,824261,0,76964,688444,765407,CTCP Lương thực Thành phố Hồ Chí Minh,Ho Chi Minh City Food JSC,Số 1610 Đường Võ Văn Kiệt - P. 7 - Q. 6 - Tp. HCM,(84.28) 3967 2038 - (84.28) 3967 2060,028 39672022,http://www.foodcosa.vn,,,,,
FDG,HASTC,1.0000,0,N/A,1.20,0.30,-0.34,-2.9,-516%,520%,1.29,13200000,13200000,0,6352680,13200000,2130,-1424,-87284,175382,88098,CTCP Docimexco,Dong Thap Trading Corporation,Số 89 Nguyễn Huệ - P. 1 - Tp. Cao Lãnh - T. Đồng Tháp,(84.277) 385 5356 - 385 6041 - 385 2511 - 385 3967,(84-67)3851250,http://www.docimexco.com,,,,,
FGL,HASTC,10.5000,0,73273%,11.10,10.50,-4.72,-2.2,-1650%,-3296%,0.26,6481323,6481323,0,0,68053892,13597,0,92879,92672,185551,CTCP Cà phê Gia Lai,Gia Lai Coffee JSC,Số 97 - Đường Phạm Văn Đồng/Yết Kiêu - P. Thống Nhất - Tp. Pleiku - T. Gia Lai,(84.269) 3824 760,,,,,,,
FHN,HASTC,13.0000,0,80346%,13.60,13.00,0.54,24.1,84%,332%,0.26,3000000,3000000,0,0,39000000,522605,1321,48535,143143,191678,CTCP Xuất nhập khẩu Lương thực Thực phẩm Hà Nội,Ha Noi Food Import - Export Joint Stock Company,Số 02 Ngõ Gạch - P. Hàng Buồm - Q. Hoàn Kiếm - Tp. Hà Nội - Việt Nam,024 6275 3844,024 3715 0328,http://www.vihafood.com/,,,,,
FHS,HASTC,19.4000,0,110541%,36.80,19.20,1.48,13.1,111%,844%,1.29,9108277,9108277,0,0,176700570,0,0,159861,1057725,1217586,CTCP Phát hành Sách Thành phố Hồ Chí Minh,Ho Chi Minh City Book Distribution Corporation,60-62 Lê Lợi - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 3822 5446,,http://www.fahasasg.com.vn,,,,,
FIC,HASTC,9.0000,0,74135%,12.90,7.30,0.59,15.3,268%,483%,1.47,127000000,127000000,0,0,1143000000,2414866,74543,1541927,1236957,2778884,Tổng Công ty Vật liệu Xây dựng số 1 - CTCP,Fico Corporation JSC,Lầu 15 - Sailing Tower - Số 111A Pasteur - Q.1 - Tp.HCM,(84.28) 3823 0809,(84-28) 38213233,http://www.fico.com.vn/,,,,,
FID,HASTC,3.1000,0,30969%,5.40,0.90,-0.08,-38.7,-75%,-80%,2.74,23539998,23539998,0,10779999,72973992,102207,0,235709,16399,252108,CTCP Đầu tư và Phát triển Doanh nghiệp Việt Nam,Vietnam Enterprise Investment And Development JSC,Tầng 7 số 71 Hoàng Cầu - P. Ô Chợ Dừa - Q. Đống Đa - Tp. Hà Nội,(84.24) 3974 1739,024 39 741 740,http://vndi.com.vn,,,,,
FOC,HASTC,106.5000,0,229328%,146.14,84.29,11.31,9.4,1967%,2435%,0.90,18471275,18471275,0,0,1967190788,631281,41727,857739,204533,1062272,CTCP Dịch vụ Trực tuyến FPT,FPT Online Joint Stock Company,Lô L 29B-31B-33B đường Tân Thuận - P. Tân Thuận Đông - Q. 7- Tp. HCM,(84.28) 7300 9999,,http://www.fptonline.net,,,,,
FOX,HASTC,77.9000,0,385072%,80.00,35.41,6.13,12.7,1046%,3029%,0.74,273646461,273646461,0,0,21317059729,11814243,1676899,5536009,10495620,16031629,CTCP Viễn thông FPT,FPT Telecom Joint Stock Company,Tầng 2 - Tòa nhà FPT Cầu Giấy - Phố Duy Tân - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 7300 2222,024 3795.0047,http://www.fpt.vn,,,,,
FRC,HASTC,27.6000,0,86250%,34.80,9.90,7.21,3.8,986%,2254%,0.61,3000000,3000000,0,0,82800001,25193,0,96011,123470,219481,CTCP Lâm đặc sản Xuất khẩu Quảng Nam,Forest Products Export JSC Of Quang Nam,Thôn Ngọc Vinh - X.Điện Ngọc - H.Điện Bàn - T.Quảng Nam,(84.51) 3843595 - 3843671- 3843569,0510 3843 619,http://www.forexco.com.vn,,,,,
FRM,HASTC,20.0000,0,184332%,26.10,13.60,0.69,29.0,525%,632%,0.21,11700000,11700000,0,0,234000000,118512,0,126951,25980,152931,CTCP Lâm Nghiệp Sài Gòn,Saigon Forestry Import - Export Company Limited,Số 8 Hoàng Hoa Thám - P.7 - Q.Bình Thạnh,(84.28) 3510 8880,(028) 3843 1335,http://www.forimex.vn/,,,,,
FSO,HASTC,11.5000,0,119667%,11.50,11.50,-0.59,-19.5,-589%,-614%,0.00,5624966,5624966,0,0,64687109,130442,4805,54051,2235,56286,CTCP Cơ khí đóng tàu Thủy sản Việt Nam,Viet Nam Fishery Mechanical Shipbuilding JSC,Số 02 Phan Đình Phùng - P. Hạ Lý - Q. Hồng Bàng - Tp. Hải Phòng,(84.225) 384 2665,313820436,www.dongtauthuysan.vn,,,,,
FT1,HASTC,50.0000,0,249626%,56.00,24.10,6.49,7.7,1581%,3237%,0.68,7079853,7079853,0,0,353992650,0,0,141840,148631,290471,CTCP Phụ tùng Máy số 1,Machinery Spare Parts No1 Joint Stock Company,Đường 3/2 - Tổ 10 - P. Mỏ Chè - Tp. Sông Công - T. Thái Nguyên,(84.208) 386 2396,0208 3862 316,www.futu1.com.vn,,,,,
FTI,HASTC,3.5000,0,42373%,3.50,3.50,1.19,2.9,1158%,1436%,-0.08,3943710,3943710,0,0,13802985,4469,-5185,32579,7808,40387,CTCP Công nghiệp - Thương mại Hữu Nghị,Friendship Trading - Industrial Joint Stock Company,Số 357 - Lê Hồng Phong - P. 2 - Q. 10 - Tp. Hồ Chí Minh,(84.28) 3830 8899,,www.ftic.vn,,,,,
FUCTVGF1,HASTC,12.3500,0,N/A,14.50,10.26,359.00,34.4,0%,0%,0.00,15000000,15000000,0,0,185,0,5390,0,0,0,Quỹ đầu tư tăng trưởng TVAM,TVAM Growth Fund,Lầu 9, Tòa nhà Bitexco Nam Long, 63A Võ Văn Tần, P.6, Q.3, TP.Hồ Chí Minh,028 6299 2090,028 6299 2103,www.tvam.vn
FUCTVGF2,HASTC,10.8000,0,N/A,17.10,8.42,-1605.00,-9.8,0%,0%,0.12,17000000,17000000,0,0,269,0,-27288,,,,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,Quỹ Đầu tư Tăng trưởng Thiên Việt 2,,,,,,,,,
FUCVREIT,HASTC,12.0000,0,N/A,30.55,4.56,0.00,0.0,0%,0%,0.27,5000000,5000000,0,0,76,0,0,0,0,0,Quỹ đầu tư bất động sản Techcom Việt Nam,Techcom Vietnam REIT Fund,Tầng 10, số 191 phố Bà Triệu, phường Lê Đại Hành, quận Hai Bà Trưng, Hà Nội,(+84) 4 39446368,(+84) 4 39446583,www.techcomcapital.com.vn,
FUEMAV30,HASTC,16.7300,0,N/A,19.57,11.82,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,Quỹ ETF MAFM VN30,Quỹ ETF MAFM VN30,,,,,,,,,
FUESSV30,HASTC,17.7000,0,N/A,19.41,9.77,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,Quỹ ETF SSIAM VN30,Quỹ ETF SSIAM VN30,,,,,,,,,
FUESSV50,HASTC,20.7000,0,N/A,22.50,10.70,0.00,0.0,0%,0%,0.94,9800000,9800000,0,0,200,0,0,,,,QUỸ ETF SSIAM VNX50,SSIAM VNX50 ETF,,,,,,,,,
FUESSVFL,HASTC,20.5000,0,N/A,23.79,8.52,0.00,0.0,0%,0%,0.17,26200000,26200000,0,0,537,0,0,,,,Quỹ ETF SSIAM VNFIN LEAD,Quỹ ETF SSIAM VNFIN LEAD,,,,,,,,,
FUEVFVND,HASTC,24.5000,0,N/A,26.48,10.95,0.00,0.0,0%,0%,0.94,0,0,0,0,0,0,0,,,,Quỹ ETF VFMVN DIAMOND,Quỹ ETF VFMVN DIAMOND,,,,,,,,,
FUEVN100,HASTC,17.8000,0,N/A,19.49,9.60,0.00,0.0,0%,0%,-1.15,0,0,0,0,0,0,0,,,,Quỹ ETF VINACAPITAL VN100,Quỹ ETF VINACAPITAL VN100,,,,,,,,,
G20,HASTC,0.8000,0,55556%,1.10,0.20,-1.14,-0.7,-1583%,-7947%,2.22,43200000,43200000,0,7056000,34560001,0,0,62241,250263,312503,CTCP Đầu tư Dệt may Vĩnh Phúc,Vinh Phuc Textile Investment JSC,Thôn Đại Phúc - X.Đạo Đức - H.Bình Xuyên - T.Vĩnh Phúc,(84.211) 359 3322,0211 3582 288,http://Ghome.vn,,,,,
G36,HASTC,8.6000,0,75109%,16.89,3.86,1.35,6.4,264%,1181%,2.40,93599437,93599437,0,0,804955194,2310965,13326,1071262,3726466,4797727,Tổng Công ty 36 - CTCP,36 Corporation,Số 141 Hồ Đắc Di - P. Nam Đồng - Q. Đống Đa - Tp. Hà Nội,(84.24) 3533 2471,+84-43533 2472,http://www.36corporation.vn,,,,,
GBP-X,HASTC,0.7271,0,N/A,0.79,0.70,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,USD/GBP (British Pound),USD/GBP,,,,,,,,,
GC-F,HASTC,1802.1000,0,N/A,2051.50,1677.70,0.00,0.0,0%,0%,0.00,0,0,0,0,0,0,0,,,,GOLD (Giá Vàng),GOLD (Giá Vàng),,,,,,,,,
GCB,HASTC,11.5000,0,75658%,13.00,6.40,0.26,44.2,117%,168%,2.07,4039147,4039147,0,0,46450190,774523,9101,61385,26660,88046,CTCP Petec Bình Định,Petec Binh Dinh Joint Stock Company,Số 389 Trần Hưng Đạo - Tp. Quy Nhơn - T. Bình Định,(84.256) 382 3863 - 382 2090 - 382 2233,056.3 823863,http://www.petecbidico.com.vn,,,,,
GDW,HASTC,21.1000,0,114674%,37.73,17.43,2.20,9.6,562%,1196%,1.04,9500000,9500000,0,4199900,200450004,582734,0,174793,197419,372211,CTCP Cấp nước Gia Định,Gia Dinh Water Supply Joint Stock Company,2Bis Nơ Trang Long - P.14 - Q.Bình Thạnh - Tp.HCM,(84.28) 3841 2654,(08) 38 418 524,http://www.capnuocgiadinh.vn,,,,,
GE2,HASTC,36.1000,85.9,42%,43.50,26.90,6466.32,0.0,333%,752%,1.00,262500,262500,0,0,9476250,27497975,2481855,21527777,27951370,49479147,Tổng công ty Phát điện 2 - Công ty TNHH MTV,Tổng công ty Phát điện 2 - Công ty TNHH MTV,,,,,,,,,
GER,HASTC,3.0000,0,26714%,10.40,3.00,0.19,15.8,104%,166%,0.91,2200000,2200000,0,1078000,6600000,132456,469,24705,14814,39519,CTCP Thể thao Ngôi sao Geru,Geru Star Sport Joint Stock Company,1/1 Tân Kỳ Tân Quý - P.Sơn Kỳ - Q.Tân Phú - Tp.HCM,(84.28) 38425110 - 38472719 - 38470037,028 38425008,http://www.gerusport.com.vn,,,,,
GGG,HASTC,2.5000,0,N/A,2.30,0.90,-3.03,-0.8,-4523%,1747%,0.93,9635456,9635456,0,4073961,24088640,66744,0,-167265,231889,64623,CTCP Ô tô Giải Phóng,Giai Phong Motor Joint Stock Company,Khu KT cửa khẩu Thanh Thủy - X.Thanh Thủy - H.Vị Xuyên - T.Hà Giang,(84.219) 388 2204,(0219)3882121,http://www.giaiphong.com.vn,,,,,
GHC,HASTC,29.5000,0,182324%,32.00,24.65,2.54,11.6,759%,1570%,0.54,41000000,41000000,0,9986634,1209500000,303044,0,663334,708685,1372020,CTCP Thủy điện Gia Lai,Gia Lai Hydropower JSC,Số 114 Trường Chinh - P.Phù Đổng - Tp.Pleiku - T.Gia Lai,(84.269) 383 0013,+84-(0)59-383.00.13,http://www.ghc.vn,,,,,
GIC,HASTC,18.4000,0,94992%,26.60,14.15,3.12,5.9,1350%,1609%,0.81,12120000,12120000,0,0,223007995,180382,0,234779,44959,279738,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,Công ty Cổ phần Đầu tư dịch vụ và Phát triển Xanh,,,,,,,,,
GKM,HASTC,13.5000,0,109047%,19.50,12.90,0.92,14.7,451%,746%,0.68,14883709,14883709,0,0,200930072,185143,0,184193,120496,304689,CTCP Khang Minh Group,Khang Minh Group Joint Stock Company,KCN Châu Sơn - P. Lê Hồng Phong - Tp. Phủ Lý - T. Hà Nam,(84.24) 2220 7171,024 22207181,khangminhgroup.com,,,,,
GLC,HASTC,10.0000,0,340136%,10.00,10.00,-1.47,-6.8,-2982%,-4999%,0.00,10500000,10500000,0,0,105000000,11252,0,27451,21933,49384,CTCP Vàng Lào Cai,Lao Cai Gold Joint Stock Company,Bản 3 - Thôn Minh Hạ - X. Minh Lương - H. Văn Bàn - T. Lào Cai,(84.214) 3853 565,,http://vanglaocai.com.vn/,,,,,
GLT,HASTC,33.0000,0,283749%,36.50,18.22,2.92,11.3,1680%,2512%,1.24,9196946,9216696,19750,4525858,304150968,136515,27369,107445,52437,159882,CTCP Kỹ thuật Điện Toàn cầu,Global Electrical Technology Corporation,Tầng 2 - ITD Building - 01 Sáng Tạo - KCX Tân Thuận - Q. 7 - Tp. HCM,(84.28) 3770 1055,028 37.70.10.56,http://www.toancau.vn,,,,,
GLW,HASTC,4.1000,0,38390%,6.50,4.00,0.52,7.9,475%,489%,0.36,18000000,18000000,0,0,73799998,53878,0,192199,5955,198154,CTCP Cấp thoát nước Gia Lai,Gia Lai Water Supply Sewerage JSC,388 Lý Thái Tổ - P. Yên Đỗ - Tp. PleiKu - T. Gia Lai,(84.269) 382 4094/ 383 0628,,http://capnuocgialai.com,,,,,
GMA,HASTC,59.8000,0,491372%,62.80,16.50,0.64,93.4,210%,529%,0.15,6000000,6000000,0,0,358799995,96324,0,74482,54627,129110,Công ty Cổ phần Enteco Việt Nam,Công ty Cổ phần Enteco Việt Nam,,,,,,,,,
GMX,HASTC,38.2000,0,209086%,39.60,21.67,5.17,7.4,1881%,2833%,0.70,5320694,5320694,0,2607140,203250515,259985,0,97190,49190,146381,CTCP Gạch ngói Gốm Xây dựng Mỹ Xuân,My Xuan Brick Tile Pottery And Construction JSC,Ấp Suối Nhum - X.Hắc Dịch - H.Tân Thành - T.Bà Rịa-Vũng Tàu,(84.254) 387 6770 - 389 3150,,http://www.myxuan-vt.com.vn,,,,,
