MaCK,SanCK,GiaHienTai,GiaSoSach,PB,CaoNhat52Tuan,ThapNhat52Tuan,EPS,PE,ROA,ROE,Beta,KhoiLuongLuuHanh,KhoiLuongNiemYet,CoPhieuQuy,NuocNgoaiSoHuu,VonThiTruong,DoanhThu-ttm(Trieu),LNST-ttm,VonCSH,TongNo,TongTaiSan,TenCongTy,TenQuocTe,DiaChi,DienThoai,Fax,Website,,,,
DAG,HOSE,5.3000,0,40366%,7.14,4.63,0.23,23.0,60%,172%,1.18,51795085,51795085,0,16291076,274513960,2090014,0,679879,1274490,1954369,CTCP Tập đoàn Nhựa Đông Á,Dong A Plastic Joint Stock Company,Lô 1-CN5-Cụm công nghiệp Ngọc Hồi - X.Ngọc Hồi - H.Thanh Trì - Tp.Hà Nội,(84.24) 3689 1888,4.36861616,http://www.dag.com.vn,,,,
DAH,HOSE,7.8100,0,82733%,12.80,3.55,-0.90,-8.7,-506%,-952%,1.98,34200000,34200000,0,0,267101998,13358,0,322783,285103,607886,CTCP Tập đoàn Khách sạn Đông Á,Dong A Hotel Group JSC,Phòng C301 tầng 3 - Tòa nhà Trung tâm Thương mại Đông Á - Số 668 - Đường Phan Đình Phùng - Tổ 11 - P. Đồng Quang - Tp. Thái Nguyên - T. Thái Nguyên,(84.28) 0365 1967,02803 758 468,www.dongahotelgroup.com,,,,
DAT,HOSE,19.3000,0,134965%,92.10,19.00,1.28,15.1,377%,896%,1.65,46005413,46005413,0,18669000,887904436,2371976,0,657715,904559,1562274,CTCP Đầu tư du lịch và Phát triển Thủy sản,Travel Investment And Seafood Development Corporation,QL 80 - Cụm Công nghiệp Vàm Cống - Ấp An Thạnh - Xã Bình Thạnh - Huyện Lấp Vò - Tỉnh Đồng Tháp,(84.277) 368 0657,67.3680657,http://trisedco.vn,,,,
DBC,HOSE,51.5000,0,119130%,64.20,36.91,13.52,3.8,1348%,3128%,1.55,104763911,104763911,0,36892079,5395341416,10478693,0,4529060,5977443,10506503,CTCP Tập đoàn Dabaco Việt Nam,Dabaco Group,Số 35 - Đường Lý Thái Tổ - P. Võ Cường - Tp. Bắc Ninh - T. Bắc Ninh,(84.222) 382 0712 - 382 6077 - 821 243,0222.3825496,http://www.dabaco.com.vn,,,,
DBD,HOSE,41.8000,0,213592%,44.52,38.53,3.01,13.9,1043%,1536%,0.48,52379000,52379000,0,0,2189442160,1262279,0,1025281,484112,1509393,CTCP Dược - Trang thiết bị Y tế Bình Định,Binhdinh Pharmaceutical and Medical Equipment JSC,Số 498 Nguyễn Thái Học – P. Quang Trung - Tp. Quy Nhơn – T. Bình Định,(84.256) 384 6500,(84.56) 3846846,http://www.bidiphar.com,,,,
DBT,HOSE,13.4000,0,80577%,18.35,8.85,0.25,53.6,41%,148%,1.37,14205116,14205116,0,3772905,190348549,824926,3492,236198,608818,845016,CTCP Dược phẩm Bến Tre,Ben Tre Pharmaceutical JSC,6A3 - Quốc lộ 60 - P. Phú Tân - Tp. Bến Tre - T. Bến Tre,(84.275) 822 429 - 813 447 - 829 528,075 3 829528,http://www.bepharco.com,,,,
DC4,HOSE,13.5000,0,114991%,17.43,9.71,0.93,14.5,480%,792%,1.01,31999758,31999758,0,2700909,431996733,498139,29764,375659,243940,619599,CTCP Xây dựng DIC Holdings,DIC Holdings Construction Joint Stock Company,Tòa nhà Ruby Tower - Số 12 đường 3 tháng 2 - P. 8 - Tp. Vũng Tàu - T. Bà Rịa-Vũng Tàu,(84.254) 361 3518,,http://www.diccons.vn,,,,
DCL,HOSE,40.0000,0,231214%,53.00,18.00,1.25,32.0,390%,721%,1.23,56832824,56832824,0,27603083,2273312960,679375,70832,983033,832317,1815350,CTCP Dược phẩm Cửu Long,Cuu Long Pharmaceutical JSC,150 Đường 14/9 - P.5 - Tp.Vĩnh Long - T.Vĩnh Long,(84.270) 382 2533,2703822129,http://www.pharimexco.com.vn,,,,
DCM,HOSE,18.4000,0,151440%,20.11,7.12,1.38,13.3,853%,1133%,1.39,529400000,529400000,0,259406000,9740959798,8255438,728482,6432226,2079071,8537371,CTCP Phân bón Dầu khí Cà Mau,Petro Viet Nam Ca Mau Fertilizer JSC,Lô D - KCN Phường 1 - Đường Ngô Quyền - P.1 - Tp.Cà Mau,(84.290) 381 9000,0780 3590501,http://www.pvcfc.com.vn,,,,
DGC,HOSE,92.4000,0,319281%,87.90,25.02,6.72,13.8,1666%,2323%,1.19,148766943,148766943,0,24504348,13746065760,6665360,1000391,4305755,1700025,6005779,CTCP Tập đoàn Hóa chất Đức Giang,Duc Giang Chemicals Group JSC,18/44 Phố Dức Giang - P.Lượng Thanh - Q.Long Biên - Tp.Hà Nội,(84.24) 3827 1620,024 38 271 068,http://www.ducgiangchem.vn,,,,
DGW,HOSE,138.0000,0,470508%,144.90,37.90,7.30,18.9,939%,2488%,1.77,43151747,43151747,0,15000531,5954941086,15415668,314850,1265479,2089341,3354820,CTCP Thế Giới Số,DIGIWORLD CORPORATION,Số 201 - 203 Cách Mạng Tháng 8 - P. 04 - Q. 3 - Tp. HCM,(84.28) 3929 0059,(08) 39290060,http://digiworld.com.vn,,,,
DHA,HOSE,41.4000,0,139066%,49.75,27.64,6.65,6.2,2095%,2235%,0.86,15002480,15061213,58733,7408773,623534241,381721,0,446659,29853,476512,CTCP Hóa An,Hoa An Joint Stock Company,Ấp Cầu Hang - X.Hóa An - Tp.Biên Hòa - T.Đồng Nai,(84.251) 395 4458,+84-(0)61-395.47.54,http://www.hoaan.com.vn,,,,
DHC,HOSE,80.8000,0,310769%,107.90,38.47,8480.00,0.0,18%,33%,1.13,55995783,55995783,0,11396855,4524459437,3233887,0,1455893,1166366,2622259,CTCP Đông Hải Bến Tre,Dong Hai Joint Stock Company of Bentre,Lô AIII - KCN Giao Long - X.An Phước - H.Châu Thành - Tỉnh Bến Tre,(84.275) 361 1666,075 382 7287,http://www.dohacobentre.com.vn,,,,
DHG,HOSE,92.8000,0,321664%,104.75,87.45,5.87,15.8,1632%,2034%,0.52,130725811,130735941,10130,42710521,12132295724,4440409,767263,3771995,930411,4702406,CTCP Dược Hậu Giang,DHG Pharmaceutical Joint Stock Company,Số 288 Bis Nguyễn Văn Cừ - P. An Hòa - Q. Ninh Kiều - Tp. Cần Thơ,(84.292) 389 1433,84-2923895209,http://www.dhgpharma.com.vn,,,,
DHM,HOSE,11.6000,0,131073%,11.50,7.30,-1.57,-7.4,-903%,-1775%,0.55,31396180,31396180,0,11514201,364195700,993387,0,277930,268483,546413,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Duong Hieu Trading and Mining Development JSC,Số nhà 1309 Ngõ 1581 Đường 3/2 Tổ 20 P. Trung Thành - Tp. Thái Nguyên,(84.208) 383 2410,02083 835942,http://duonghieu.com.vn,,,,
DIG,HOSE,23.5000,0,171158%,27.91,9.43,2.11,11.1,561%,1381%,1.37,350339233,350339233,0,113530461,8232971976,2739694,664377,4810659,7042427,11853086,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Development Investment Construction JSC,Số 265 Lê Hồng Phong - P. 8 - Tp. Vũng Tàu - Tỉnh Bà Rịa - Vũng Tàu,(84.254) 385 9248,+84-(0)64-3586 927,http://www.dic.vn,,,,
DLG,HOSE,2.8800,0,34245%,4.28,1.24,-2.69,-1.1,-982%,-3205%,1.92,299309720,299309720,0,107401197,862012028,2081969,-806472,2516479,5696300,8212779,CTCP Tập đoàn Đức Long Gia Lai,Duc Long Gia Lai Group Joitn Stock Company,02 Đặng Trần Côn - P. Trà Bá - Tp. Pleiku - T. Gia Lai,(84.269) 374 8367 - 374 7206,059.3747.366,http://www.duclonggroup.com,,,,
DMC,HOSE,48.1000,0,124741%,61.20,43.96,4.64,10.4,1102%,1205%,0.90,34727465,34727465,0,17016457,1670391014,1554825,0,1339136,124889,1464025,CTCP Xuất nhập khẩu Y Tế Domesco,Domesco Medical Import Export Joint Stock Corporation,Số 66 Quốc lộ 30 - P.Phú Mỹ - Tp.Cao Lãnh - T.Đồng Tháp,(84.277) 385 2278,0673 851 270,http://www.domesco.com,,,,
DPG,HOSE,31.8000,0,131459%,32.90,13.52,4025.00,0.0,7%,21%,1.63,62999734,44999810,0,0,1430993924,2103531,253587,1523952,3142178,4666130,CTCP Đạt Phương,Dat Phuong Joint Stock Company,Tầng 15 tòa nhà Handico Khu đô thị mới Mễ Trì Hạ đường Phạm Hùng - P. Mễ Trì - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 3783 0856,0243 783 0859,http://www.datphuong.com.vn,,,,
DPM,HOSE,22.0500,0,104602%,23.10,11.83,1.96,11.2,671%,932%,1.30,386508640,388954320,2445680,191786000,8576442459,8130455,759201,8149507,3160278,11309785,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Petrovietnam Fertilizer & Chemicals Corporation,Lầu 7 - Tòa nhà PVFCCo - 43 Mạc Đĩnh Chi - P.Đa Kao - Q.1 - Tp.HCM,(84.28) 3825 6258,028 38 25 62 69,http://www.dpm.vn,,,,
DPR,HOSE,60.4000,0.1,110199%,66.20,34.97,3.75,16.1,452%,684%,0.90,43000000,43000000,0,21070000,2597200066,1093468,161267,2356745,1213071,3569815,CTCP Cao su Đồng Phú,Dong Phu Rubber Joint Stock Company,Xã Thuận Phú - H.Đồng Phú - T.Bình Phước,(84.271) 381 9786,(+84-0651) 381.9620,http://www.doruco.com.vn,,,,
DQC,HOSE,18.4000,0,57935%,25.85,14.70,0.71,25.9,153%,223%,1.07,29479016,31919216,2440200,16836113,587313562,951029,20920,936356,428254,1364610,CTCP Bóng đèn Điện Quang,Dien Quang Joint Stock Company,121-123-125 Hàm Nghi - P.Nguyễn Thái Bình - Q.1- Tp.HCM,(84.28) 3829 0135,(+84-08) 825.15.18,http://dqc.vn/,,,,
DRC,HOSE,28.6000,0,194030%,31.65,14.13,2.34,12.2,1114%,1588%,1.33,118792605,118792605,0,58208376,3397468548,3985729,109504,1750978,745137,2496115,CTCP Cao su Đà Nẵng,Danang Rubber Joint Stock Company,Tạ Quang Bửu - KCN Liên Chiểu - P.Hòa Hiệp Bắc - Q.Liên Chiểu - TP.Đà Nẵng,(84.236) 377 1405,0236 3771400,http://www.drc.com.vn,,,,
DRH,HOSE,8.5200,0,60000%,13.55,5.43,0.76,11.2,182%,535%,1.86,60428233,60714083,285850,24010000,517284015,33612,45928,857815,1668298,2526113,CTCP DRH Holdings,DRH Holdings JSC,67 Hàm Nghi - P. Nguyễn Thái Bình - Q. 1 - Tp. HCM,(84.28) 3822 3771,028 3822 3727,http://drh.vn,,,,
DRL,HOSE,58.0000,0,423358%,59.77,45.79,6.40,9.1,4472%,4672%,0.36,9500000,9500000,0,4655000,551000000,100310,0,130190,5828,136018,CTCP Thủy điện - Điện Lực 3,Hydro Power Joint Stock Company – Power No.3,Xã EaPô - Huyện CưJút - Tỉnh ĐắkNông,(84.261) 368 4888,+84 (0501) 3684666,http://www.pc3hp.com.vn,,,,
DSN,HOSE,40.9000,0,304315%,49.00,38.78,3.02,13.5,1901%,2244%,0.63,12083009,12083009,0,5920674,494195087,71032,17514,162369,29311,191680,CTCP Công viên nước Đầm Sen,Dam Sen Water Park Corporation,Số 3 - Đường Hòa Bình - P.3 - Q.11 - Tp.HCM,(84.28) 3858 8418,+84-(8)-38.58.84.19,http://www.damsenwaterpark.com.vn,,,,
DTA,HOSE,8.7000,0,84713%,13.15,3.00,-0.03,-290.0,-10%,-34%,1.68,18059832,18059832,0,4900000,157120535,51560,0,185546,413465,599011,CTCP Đệ Tam,De Tam Joint Stock Company,2/6–2/8 Núi Thành - P.13 - Q.Tân Bình - Tp.HCM,(84.28) 3810 8452,028 38.12.13.44,http://www.detamland.com,,,,
DTL,HOSE,35.1000,0,190554%,40.10,5.59,1.72,20.4,428%,936%,1.09,54979924,58207764,3227840,30103445,2043092428,1793284,0,1012844,1204021,2216865,CTCP Đại Thiên Lộc,Dai Thien Loc Corporation,Lô CN8 Đường CN5 - KCN Sóng Thần 3 - TP.Thủ Dầu Một - T.Bình Dương,(84.274) 371 9999,(0650) 3849111/222,http://www.daithienloc.com.vn,,,,
DTT,HOSE,14.2000,0,92208%,14.40,8.47,1.00,14.2,463%,648%,0.22,8151820,8151820,0,3994391,115755842,151760,0,125566,49997,175562,CTCP Kỹ nghệ Đô Thành,Do Thanh Technology Corporation,59-65 Huỳnh Mẫn Đạt - P.5 - Q5 - Tp.HCM,(84.28) 3923 6238,028 923.53.60,http://www.dothanhtech.com,,,,
DVP,HOSE,49.7500,0,156054%,53.00,31.31,6.13,8.1,1789%,1925%,0.86,40000000,40000000,0,19600000,1990000000,544063,0,1275022,96912,1371934,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Dinh Vu Port Investment and Development JSC,Cảng Đình Vũ - P. Đông Hải 2 - Q. Hải An - Tp. Hải Phòng,(84.225) 376 9992,+84-(0)31-376.99.92,http://www.dinhvuport.com.vn,,,,
DXG,HOSE,20.7000,0,110695%,28.90,8.78,1.08,19.2,217%,576%,1.77,517557917,518796292,1238375,57459149,10739083640,5272824,557838,9679544,15995056,25674600,CTCP Tập đoàn Đất Xanh,Dat Xanh Group JSC,2W Ung Văn Khiêm - P 25 - Q. Bình Thạnh - Tp. HCM,(84.28) 6252 5252,028 62.85.38.96,https://www.datxanh.vn/,,,,
DXV,HOSE,3.7800,0,34426%,6.09,2.30,-0.17,-22.2,-135%,-159%,1.58,9900000,9900000,0,4851000,37422000,185276,0,108744,18718,127462,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Da Nang Construction Building Materials & Cement JSC,Tầng 06 Tòa nhâ - DITP - Lô A2-19 Đường Nguyễn Tất Thành nối dài - P. Hòa Hiệp Nam - Q. Liên Chiểu - Tp. Đà Nẵng,(84.236) 370 7814 - 360 5020,+84-(0)511-382.23.38,http://www.coxiva.com.vn,,,,
EIB,HOSE,26.0000,0,189091%,33.40,16.40,0.71,36.6,54%,516%,0.98,1235522904,1235522904,0,370656871,32123595504,10323943,876240,16992637,143960713,160953350,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Vietnam Commercial Joint Stock Export Import Bank,Tầng 8 Vincom Center - 72 Lê Thánh Tôn - P.Bến Nghé - Q.1 - TP.HCM,(84.28) 3821 0056,,http://www.eximbank.com.vn,,,,
ELC,HOSE,13.7000,0,81113%,15.78,4.41,673.00,0.0,2%,4%,1.54,50928243,50928243,0,22832713,697716919,739036,34256,860136,550449,1410585,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,Electronics Communications Technology Investment Development Corporation,Tòa nhà Elcom - Phố Duy Tân - P.Dịch Vọng Hậu - Q.Cầu Giấy - Tp.Hà Nội,(84.24) 3835 9359,024 38.35.58.84,http://www.elcom.com.vn,,,,
EMC,HOSE,17.0000,0,160529%,23.25,9.77,0.18,94.4,57%,173%,0.60,15297333,15297333,0,5621770,260054661,688368,1100,161925,329634,491559,CTCP Cơ điện Thủ Đức,Thu Duc Electro Mechanical Joint Stock Company,Km số 9 Xa Lộ Hà Nội - Q.Thủ Đức - Tp.HCM,(84.28) 2214 4647,028 389.631.59,http://www.codientd.com,,,,
EVE,HOSE,12.6000,0,54522%,16.22,7.79,1.40,9.0,418%,607%,1.30,41021173,41500473,479300,41979773,522905976,855195,0,948029,427297,1375326,CTCP Everpia,Everpia JSC,Cụm dân cư Nội Thương - X. Dương Xá - H. Gia Lâm - Tp. Hà Nội,(84.24) 3827 6490,024 3827.64.92,http://www.everpia.vn,,,,
EVG,HOSE,9.1500,0,72619%,15.00,2.96,0.17,53.8,110%,138%,1.75,105000000,105000000,0,0,960749960,864521,18252,1322819,335262,1658081,CTCP Tập đoàn EverLand,Everland Group Joint Stock Company,Tầng 3 Tòa nhà 97-99 Láng Hạ - P. Láng Hạ - Q. Đống Đa - Tp. Hà Nội,(84.24) 6666 8080,024 3569 0141,www.everland.vn,,,,
FCM,HOSE,6.2800,0,45212%,7.80,5.55,0.40,15.7,189%,285%,0.97,41000000,41000000,0,20090000,257480009,505846,16202,569420,285626,855046,CTCP Khoáng sản FECON,Fecon Mining Joint Stock Company,Cụm công nghiệp Thi Sơn - X. Thi Sơn - H. Kim Bảng - T. Hà Nam,(84.226) 353 3038,(84-351) 3533 897,http://www.feconmining.com.vn,,,,
FCN,HOSE,10.8000,0,53386%,15.20,7.77,0.98,11.0,172%,483%,1.54,125439007,125439007,0,14599307,1354741300,3311881,122547,2537133,4594336,7131469,CTCP FECON,FECON CORPORATION,Tầng 15 Tháp CEO - Lô HH2-1 - Khu đô thị Mễ Trì Hạ - Đường Phạm Hùng - Q. Nam Từ Liêm - Tp. Hà Nội,(84.24) 6269 0481,024 62690484,http://www.fecon.com.vn,,,,
FDC,HOSE,11.1500,0,73597%,16.50,10.80,-0.09,-123.9,-35%,-62%,1.08,38629988,38629988,0,13528894,430724351,193035,-3617,585307,443236,1028542,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Foreign Trade Development & Investment Corporation of HCMC,Số 28 Phùng Khắc Khoan - P.Đa Kao - Q.1 - Tp.HCM,(84.28) 3822 1043,2838225241,http://www.fidecovn.com,,,,
FIR,HOSE,34.6000,0,254225%,35.00,21.73,1.22,28.4,595%,899%,0.80,27039864,27039864,0,0,935579253,143231,33082,367934,188438,556372,CTCP Địa ốc First Real,First Real Joint Stock Company,Tầng 5 Khu văn phòng - Khu phức hợp Khách sạn Bạch Đằng, số 50 Đường Bạch Đằng - P. Hải Châu 1 - Q. Hải Châu - Tp. Đà Nẵng,(84.236) 3616 767,,http://fir.vn/,,,
FIT,HOSE,14.8500,0,93162%,21.75,8.00,0.27,55.0,130%,168%,1.82,254730245,254730245,0,94838991,3782744235,1232228,68322,4061281,1184898,5246179,CTCP Tập đoàn F.I.T,F.I.T Group Joint Stock Company,Tầng 5 - Tòa Times Tower - HACC1 Complex Building - Số 35 - Đường Lê Văn Lương - P. Nhân Chính - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 7309 4688,(84-4) 7309.4686,http://fitgroup.com.vn,,,,
FLC,HOSE,10.6000,0,77542%,15.15,2.70,1.80,5.9,433%,1314%,2.02,709997807,709997807,0,259637051,7525977025,11186279,1275202,9705713,19754940,29460653,CTCP Tập đoàn FLC,FLC Group JSC,Tầng 29 Tòa nhà BamBoo Airways số 265 đường Cầu Giấy - P. Dịch Vọng - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 3771 1111,024 37.24.58.88,http://flc.vn/,,,,
FMC,HOSE,35.3000,0,164646%,39.00,21.60,3.61,9.8,1098%,1682%,1.34,59844000,59844000,0,14700000,2112493154,4688115,29772,1283234,682982,1966216,CTCP Thực phẩm Sao Ta,Sao Ta Foods Joint Stock Company,Km 2132 - Quốc lộ 1A - P. 2 - Tp. Sóc Trăng - T. Sóc Trăng,(84.299) 382 2203 - 382 2223 - 382 2201,(0299) 3822122,http://www.fimexvn.com,,,,
FPT,HOSE,90.5000,0,359555%,92.70,36.82,4.72,19.2,831%,1874%,1.19,783987486,783987486,0,225119075,70950867483,30882358,3696585,19730300,24743978,44474278,CTCP FPT,FPT Corporation,Số 17 - Phố Duy Tân - P. Dịch Vọng Hậu - Q. Cầu Giấy - Tp. Hà Nội,(84.24) 7300 7300,2437687410,https://fpt.com.vn/vi,,,,
FRT,HOSE,33.8000,0,212579%,34.35,19.56,0.24,140.8,25%,149%,1.53,78981792,78981792,0,0,2669584509,15355283,18764,1256057,6316128,7572185,CTCP Bán lẻ Kỹ thuật số FPT,FPT Digital Retail Joint Stock Company,Số 261-263 Khánh Hội - P. 5 - Q. 4 - Tp. HCM,(+84-28) 7302 3456,0283 9435 773,http://frt.vn/,,,,
FTM,HOSE,2.8200,0,53208%,4.45,1.22,-4.05,-0.7,-1369%,-7642%,1.88,50000000,50000000,0,0,140999997,71707,0,265197,1215580,1480778,CTCP Đầu tư và Phát triển Đức Quân,Duc Quan Investment and Development Joint Stock Company,Lô A3 Khu Công Nghiệp Nguyễn Đức Cảnh - Đường Trần Thái Tông - P. Tiền Phong - Tp. Thái Bình - T. Thái Bình,(84.227) 325 1688,2273845305,http://fortex.com.vn,,,,
FTS,HOSE,33.0000,0,185915%,41.70,10.50,3.13,10.5,1042%,1761%,1.68,132267349,132267349,0,0,4364822517,695924,413437,2347784,1621808,3969592,CTCP Chứng khoán FPT,FPT Securities Joint Stock Company,Số 52 - Đường Lạc Long Quân - P. Bưởi - Q. Tây Hồ - Tp. Hà Nội,(84.24) 3773 7070,024 3773 9058,http://www.fpts.com.vn,,,,
GAB,HOSE,193.7000,0,1649915%,196.90,150.80,0.16,1210.6,99%,140%,0.05,13800000,13800000,0,0,2673059958,399429,0,161952,67993,229945,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC,FLC Mining Investment & Asset Management Joint Stock Company,Thôn Châu Tử - X. Châu Lộc - H. Hậu Lộc - T. Thanh Hóa,(84.37) 886 0866,,http://flcgab.vn/,,,,
GAS,HOSE,88.0000,0,326531%,96.60,61.55,3.89,22.6,1086%,1444%,1.22,1913950000,1913950000,0,937835500,168427600000,64659679,7449668,51576579,17049736,68626315,Tổng Công ty Khí Việt Nam - CTCP,PetroVietnam Gas Joint Stock Corporation,PV Gas Tower - 673 Nguyễn Hữu Thọ - Phước Kiển - Nhà Bè - Tp.HCM,(84.28) 3781 6777,+84-8 37 81 57 77,https://www.pvgas.com.vn/,,,,
GDT,HOSE,53.1000,0,316071%,61.10,26.02,4.88,10.9,2125%,2903%,0.88,17117648,17127308,9660,6353072,909460029,421234,0,287512,105322,392833,CTCP Chế biến Gỗ Đức Thành,Duc Thanh Wood Processing Joint Stock Company,21/6D - Phan Huy Ích - P. 14 - Q. Gò Vấp - Tp. HCM,(84.28) 3589 4287,028 35.89.42.88,http://www.goducthanh.com,,,,
GEG,HOSE,15.8000,0,128455%,21.00,13.80,0.95,16.6,335%,771%,1.21,271175188,271175188,0,0,4284568022,1494183,257222,3336365,4348050,7684415,CTCP Điện Gia Lai,Gialai Electricity JSC,Số 114 Trường Chinh - P. Phù Đổng - Tp. Pleiku - T. Gia Lai,(84.269) 385 4464,(84.0269) 3826.365,http://www.geccom.vn,,,,
GEX,HOSE,21.3500,0,121514%,24.10,14.75,2.02,10.6,330%,1151%,1.42,488244000,488244000,0,66662600,10424009586,19003475,987224,8580732,21366720,29947452,Tổng Công ty cổ phần Thiết bị Điện Việt Nam,Vietnam Electrical Equipment Joint Stock Corporation,Số 52 Phố Lê Đại Hành - P. Lê Đại Hành - Q. Hai Bà Trưng - Tp. Hà Nội,(84.24) 3972 6245 - 3972 6246,024 39726282,http://gelex.vn,,,,
GIL,HOSE,64.5000,0,170816%,78.69,16.34,9.35,6.9,1220%,2476%,1.39,36000000,36000000,0,6823048,2322000000,3598958,336669,1359510,1401127,2760636,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Binh Thanh Import - Export Production & Trade JSC,334A Phan Văn Trị - P.11 - Q.Bình Thạnh - TP.HCM,(84.28) 3516 2288,028 35510585,http://www.gilimex.com,,,,
GMC,HOSE,29.8500,0,135129%,39.25,14.20,0.79,37.8,199%,356%,1.42,29906760,29956020,49260,5728261,894187208,1406712,-12926,660736,518667,1179403,CTCP Garmex Sài Gòn,Saigon Garmex Manufacturing Trade Joint Stock Company,252 Nguyễn Văn Lượng - P.17 - Q.Gò Vấp - Tp.HCM,(84.28) 3984 4822,028 984.47.48,http://www.garmexsaigon-gmc.com/,,,,
GMD,HOSE,42.5000,0,186813%,44.70,16.59,1.34,31.7,397%,589%,1.50,296924957,296924957,0,36604185,12619310672,2689664,397720,6755927,3269818,10025744,CTCP Gemadept,Gemadept Corporation,Cao ốc Gemadept - 2bis - 4 - 6 Lê Thánh Tôn - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 3823 6236,028 38.235.236,http://www.gemadept.com.vn,,,,
GSP,HOSE,11.5500,0,87236%,12.90,8.22,1.72,6.7,658%,1295%,0.95,36000000,36000000,0,14700000,415800007,1697380,0,476657,460947,937605,CTCP Vận tải Sản Phẩm Khí Quốc tế,International Gas Product Shipping Joint Stock Company,Tòa nhà Green Power - 35 Tôn Đức Thắng - P.Bến Nghé - Q.1 - Tp.HCM,(84.28) 2220 5388,028 22 20 53 66,http://www.gasshipping.com.vn,,,,
GTA,HOSE,14.5000,0,86002%,15.43,9.19,1.95,7.4,368%,1158%,1.23,9260000,9830000,570000,5096000,142535000,528731,0,156146,335721,491867,CTCP Chế biến gỗ Thuận An,Thuan An Wood Processing Joint Stock Company,Đại lộ Bình Dương - X.Thuận Giao - H.Thuận An - T.Bình Dương,(84.65) 371 8031,+84-(0)650-371.80.26,http://www.tac.com.vn,,,,
GTN,HOSE,16.3500,0,99756%,29.90,15.65,0.43,38.0,239%,264%,1.49,250000000,250000000,0,150000000,4087500095,2820638,108046,4098391,428907,4527298,CTCP GTNFoods,GTNFoods JSC,Số 92 Đường Võ Thị Sáu - P.Thanh Nhàn - Q.Hai Bà Trưng - Tp.Hà Nội,(84.24) 6276 6366,(84 – 4) 627 66466,http://gtnfoods.com.vn/,,,,
GVR,HOSE,31.0000,0,237913%,36.40,9.53,1.23,25.2,623%,944%,1.85,4000000000,4000000000,0,0,124000000000,23406124,4922423,52137157,26908121,79045278,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,Vietnam Rubber Group - Joint Stock Company,Số 236 Nam Kỳ Khởi Nghĩa - Q. 3 - Tp. HCM,(028) 39325235 - 39325234,(848) 39327341,www.rubbergroup.vn,,,,
HAG,HOSE,4.9000,0,95517%,6.39,3.73,-1.52,-3.2,-765%,-2970%,1.45,924289099,924289099,0,336368351,4529016673,2552479,-1408897,4744055,13672411,18416466,CTCP Hoàng Anh Gia Lai,Hoang Anh Gia Lai Joint Stock Company,15 Trường Chinh - P. Phù Đổng - Tp. Pleiku - Tỉnh Gia Lai,(84.269) 382 0288,593820007,http://www.hagl.com.vn,,,,
HAH,HOSE,39.4000,0,135209%,39.55,9.53,3.57,11.0,788%,1225%,1.46,48782751,48782751,0,11366153,1922040464,1271135,174104,1421311,788534,2209845,CTCP Vận tải và Xếp dỡ Hải An,Hai An Transport & Stevedoring JSC,Tầng 7 - Số 45 - Phố Triệu Việt Vương - P. Bùi Thị Xuân - Q. Hai Bà Trưng - TP. Hà Nội,(84.24) 3987 7515 - 3987 6556,84-439444022,http://haiants.vn,,,,
HAI,HOSE,3.2700,0,27997%,6.00,2.21,0.04,81.8,29%,38%,1.82,182682799,182682799,0,57476663,597372749,562233,8151,2133843,725389,2859232,CTCP Nông dược H.A.I,HAI Agrochem Joint Stock Company,Số 28 - Mạc Đĩnh Chi - P. Đa Kao - Q. 1 - Tp. HCM,(84.28) 3824 4975,(84-8) 3829 7579,http://www.congtyhai.com/,,,,
HAR,HOSE,4.2700,0,41822%,7.00,2.58,0.00,0.0,-3%,-4%,1.55,101350100,101350100,0,47420502,432764925,165876,511,1034789,221963,1256752,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,An Duong Thao Dien JSC,Số 2 Ngô Đức Kế - P. Bến Nghé - Q. 1 - Tp. HCM,(84.28) 6275 4816,028 38226826,http://www.adtdgroup.com,,,,
HAS,HOSE,12.8500,0,68753%,17.29,6.64,0.41,31.3,133%,221%,0.99,7600000,7800000,200000,3920000,100230003,171472,0,142041,94735,236776,CTCP Hacisco,Hacisco Joint Stock Company,51 Vũ Trọng Phụng - Q. Thanh Xuân - Tp. Hà Nội,(84.24) 3858 1087,043.858.5563,http://www.has.vn,,,,
